Council Code,2015 Average IMD Score,2019 Average IMD Score,2025 Average IMD Score
E07000218,16.681263157894737,17.993052631578948,20.027131578947365
E07000219,22.425086419753086,22.882703703703704,23.671559523809524
E07000220,12.836639344262295,13.907311475409836,13.960179104477612
E07000221,11.383369863013698,11.747397260273974,11.879285714285714
E07000222,11.812081395348837,12.065558139534883,10.991204545454545
E07000223,18.326714285714285,17.709357142857144,14.962
E07000224,17.669702127659573,18.653734042553193,19.328969696969697
E07000225,13.002422535211268,14.137478873239436,15.68332
E07000226,17.946363636363635,19.03369696969697,20.576402985074626
E07000227,9.463753086419752,9.571308641975309,9.463966292134831
E07000228,7.57432558139535,7.737162790697674,8.762521739130435
E07000229,17.17789230769231,16.76829230769231,15.661632352941176
E07000234,10.939379310344828,11.624172413793103,11.213716666666667
E07000235,16.03028888888889,16.122622222222223,16.239733333333334
E07000236,20.95349090909091,22.390454545454542,19.86257894736842
E07000237,20.86961904761905,21.261714285714287,19.73721875
E07000238,15.808641025641027,15.687166666666666,15.90714814814815
E07000239,21.260492307692306,21.4184,21.33510447761194
E07000240,7.649218390804597,8.335448275862069,8.099874999999999
E07000241,12.814059701492537,13.99989552238806,13.98531884057971
E07000242,8.286392857142857,8.353107142857144,9.96961111111111
E07000243,18.365192307692308,19.67153846153846,19.026722222222222
E08000001,28.011502824858756,30.14746892655367,30.26257627118644
E08000002,21.517783333333334,23.250383333333332,22.991508333333332
E08000003,40.30923758865248,39.98703900709219,37.96294576271186
E08000004,29.789893617021278,32.287078014184395,34.67385915492958
E08000005,32.57136567164179,33.30633582089552,33.24078518518519
E08000006,32.86498,33.998,31.45201863354037
E08000007,18.705215789473684,20.294915789473684,17.85134554973822
E08000008,29.001070921985814,30.816893617021275,29.199415492957748
E08000009,15.133833333333333,15.912528985507247,14.874021582733814
E08000010,24.737315,25.528415,25.049184999999998
E08000011,41.99122448979592,43.5624387755102,36.88261
E08000012,41.09967785234899,42.517922818791945,36.963009933774835
E08000013,29.863932773109244,31.513142857142856,28.828842975206612
E08000014,26.060708994708996,27.281365079365077,25.275743455497384
E08000015,26.72623300970874,29.43321359223301,27.20305263157895
E08000016,29.8123537414966,30.060891156462585,30.24507432432432
E08000017,28.859355670103092,30.098355670103093,30.466663316582913
E08000018,28.020898203592814,29.347473053892216,29.460582352941177
E08000019,27.396179710144928,26.953753623188405,27.04844023323615
E08000021,28.202754285714285,29.84830285714286,28.6725
E08000022,21.100908396946565,22.11335114503817,21.094345864661655
E08000023,30.642490196078434,31.538480392156863,31.29583495145631
E08000024,29.757205405405404,30.635486486486485,32.74859459459459
E08000025,37.21499530516432,37.608262910798125,37.480081942336874
E08000026,27.884502564102565,25.35287692307692,27.05677832512315
E08000027,22.22294029850746,23.290910447761195,22.263832512315272
E08000028,34.5226559139785,34.87560752688172,33.432173684210525
E08000029,17.59349253731343,17.75452985074627,17.37173134328358
E08000030,29.619203592814372,30.708137724550898,30.67249704142012
E08000031,32.65493670886076,31.51603797468354,31.857496894409937
E08000032,32.49655483870968,33.88911935483871,35.704695512820514
E08000033,25.0050390625,26.73428125,28.02786046511628
E08000034,23.723092664092665,24.868088803088803,25.34271923076923
E08000035,26.574740663900414,27.243360995850622,23.725782786885247
E08000036,26.87165071770335,27.23937320574163,27.34404651162791
E08000037,25.676269841269843,28.031841269841273,27.99807142857143
E09000001,14.303333333333333,14.805,10.246
E09000002,34.68707272727273,32.883472727272725,30.274339130434782
E09000003,17.659189573459717,15.953625592417062,19.099445454545453
E09000004,15.800226027397262,15.88236301369863,14.85035135135135
E09000005,26.197369942196534,25.19985549132948,29.98308287292818
E09000006,15.073573604060915,13.969446700507616,12.54261809045226
E09000007,24.69254887218045,19.981052631578947,23.33462307692308
E09000008,23.18485,21.957304545454544,22.106672489082968
E09000009,23.35175510204082,22.55273979591837,25.420502512562816
E09000010,26.62625136612022,25.403448087431695,29.21125683060109
E09000011,25.249443708609274,24.27517880794702,23.123384146341465
E09000012,35.576861111111114,32.868201388888885,31.77125503355705
E09000013,24.34558407079646,22.32622123893805,21.096252173913044
E09000014,30.693399999999997,27.587200000000003,30.044272108843536
E09000015,14.14709489051095,14.860883211678832,17.032118055555557
E09000016,17.593613333333334,16.35052,15.928176470588236
E09000017,17.775496894409937,17.839329192546586,20.01861176470588
E09000018,22.420845070422533,21.371711267605633,24.51186
E09000019,32.64524390243902,27.706040650406504,26.535158730158727
E09000020,23.62566990291262,22.019300970873786,20.45579207920792
E09000021,10.961357142857143,11.303244897959184,10.741292929292928
E09000022,29.15650561797753,25.797247191011234,23.20432044198895
E09000023,28.896272189349116,26.86936094674556,25.395651428571426
E09000024,14.761024193548387,14.34733064516129,14.017412698412699
E09000025,33.11005487804878,29.771079268292684,31.3531027027027
E09000026,19.845509316770187,16.90785093167702,19.282957317073173
E09000027,10.033269565217392,9.423121739130435,9.491321739130434
E09000028,29.41783734939759,26.041289156626508,23.038473988439307
E09000029,14.414884297520661,13.820280991735537,13.552365853658538
E09000030,35.39049305555555,27.970458333333333,30.435366863905326
E09000031,29.996472222222224,25.136930555555555,23.26913698630137
E09000032,18.049536312849163,16.420262569832403,14.872811827956989
E09000033,27.424546875,20.33184375,23.650731707317075
